regions,day,price,Year
Germany,2021-05-01,15.8397452,2021
Japan,2021-05-01,5.893328919053137,2021
UK,2021-05-01,71.45874721342805,2021
USA,2021-05-01,29.761311041218338,2021
Canada,2021-06-01,25.5,2021
France,2021-06-01,5.986156000000001,2021
Germany,2021-06-01,13.957892,2021
Japan,2021-06-01,5.71476482617587,2021
UK,2021-06-01,62.36179386081012,2021
USA,2021-06-01,25.51792763124745,2021
Canada,2021-07-01,24.98,2021
France,2021-07-01,5.7601462,2021
Germany,2021-07-01,14.0336504,2021
Japan,2021-07-01,5.862379670144732,2021
UK,2021-07-01,57.48786663466344,2021
